1217,גונן (קטמון) ה' - רח' ניקנור,Gonen (Katamon) E - Nikanor st.
122,"גבעת הוורדים (רסקו), גבעת מרדכי","Giv'at Havradim (Rassco), Giv'at Mordechay"
1221,"גבעת מרדכי - רח' שח""ל",Giv'at Mordechai - Shahal st.
1222,"גבעת הורדים (רסקו), גבעת אורנים, רח' ש""י עגנון","Giv'at Havradim (Rassco), Giv'at Oranim, Shai Agnon st."
1223,"גבעת אורן - רח' הטייסים, רח' ניל""י","Giv'at Oren - Hatayasim st., Nili st. "
,,
131,"המושבה הגרמנית, גונן (קטמון הישנה)","German Colony, Gonen (Old Katamon)"
1311,גונן (קטמון הישנה) (מרכז) - רח' משמר העם,"Gonen (Old Katamon) (center) -
Mishmar Ha'am st."
1312,"גונן (קטמון הישנה) (צפון) - רח' תל חי, רח' הגדוד העברי","Gonen (Old Qatamon) (north) -
Tel-Hai st., Hagdud Ha'ivri st."
1313,"המושבה היוונית, עמק רפאים, רח' עוזיה, רח' יהושע בן נון","Greek Colony, Emek Refaim, Uzziah st., Yehoshua Bin Nun st."
1314,"המושבה הגרמנית - רח' המגיד,
רח' לויד ג'ורג'","German Colony - Hamaggid st.,
Lloyd George st."
132,"קוממיות (טלביה), מתחם ימק""א","Komemiyut (Talbiya), YMCA Compound "
1321,"קוממיות (טלביה) - רח' מרכוס, רח' אחד-העם","Komemiyut (Talbiya) - Marcus st., Ahad Ha'am st."
1322,"מתחם ימק""א, רח' דוד המלך ","YMCA Compound, King David st."
133,"גאולים (בקעה), גבעת חנניה (אבו תור), ימין משה","Ge'ulim (Baq'a), Giv'at Hananya (Abu Tor), Yemin Moshe"
1333,גאולים (בקעה) (צפון) - רח' שמשון,Ge'ulim (Baq'a) (north) - Shimshon st.
1334,גאולים (בקעה) (מרכז) - רח' מרדכי היהודי,"Ge'ulim (Baq'a) (center) - Mordechay 
Hayehudi st."
1335,גאולים (בקעה) (דרום) - רח' גד,Ge'ulim (Baq'a) (south) - Gad st.
1336,צמרת אלנבי (מתחם אלנבי) - רח' קדושי סלוניקי,Tzammeret Allenby (Allenby Compound) - Kedoshei Saloniki st.
1337,"ימין משה, משכנות שאננים, גבעת חנניה (אבו תור), הר ציון, צפון תלפיות","Yemin Moshe, Mishkenot Sha'ananim, Giv'at Hananya (Abu Thor), Mount Zion, 
 North Talpiot"
134,"תלפיות, ארנונה, מקור חיים","Talpiot, Arnona, Mekor Haim"
1341,שיכוני רמות רחל - תלפיות, Shikunei Ramot Rachel - Talpiot 
1342,תלפיות (מרכז) - רח' אפרתה,Talpiot (center) - Efrata st.
1343,"ארנונה, תלפיות (דרום), רח' לייב יפה","Arnona, Talpiot (south) - Leib Yaffe st."
1344,"תלפיות (מערב) - שיכונים, רח' הקצין סילבר","Talpiot (west) - Shikunim, Hakatzin Silver st."
1345,"אזור תעשייה ומסחר תלפיות,
רח' יד חרוצים","Talpiot - Industrial & Commercial 
Area, Yad Harutzim st."
1346,מקור חיים,Mekor Haim
135,תלפיות מזרח ,East Talpiot
1351,"תלפיות מזרח - רח' רב החובל, רח' אדם","East Talpiot - Rav Hachovel st.,
 Adam st."
1352,"תלפיות מזרח (מערב), רח' אליעזר קשאני, מעלות אלרם","East Talpiot (west) - Eli'ezer Kashani st., Ma'alot Elram"
1353,תלפיות מזרח (דרום) - רח' משה ברזני,East Talpiot (south) - Moshe Barazani st.
1354,תלפיות מזרח (מרכז) - רח' דב גרונר,East Talpiot (center) - Dov Gruner st.
1355,"תלפיות מזרח (מזרח) - רח' אבשלום חביב, מתנ""ס","East Talpiot (east) - Avshalom Haviv st., community center"
,,
162,חומת שמואל (הר חומה),Homat Shmuel (Har Homa)
1621,גבעת המטוס,Giv'at Hamatos
1622,"חומת שמואל א' (דרום), 
רח' זאב פלק","Homat Shmuel A (south), 
Ze'ev Falk St."
1624,"חומת שמואל א' (צפון) - 
רח' ליכטנשטיין, רח' בר לביא","Homat Shmuel A (north) - 
Lichtenstein St., Bar Lavie St."
1625,"חומת שמואל א' (מערב) - רח' הממציא, 
רח' מנחם ברש","Homat Shmuel A (west) - 
Hamamtzi St., Menahem Barash St."
1626,"גבעת הארבעה, מנזר מר אליאס","Giv'at Ha'arba'a, Mar Elias Monastery"
